emailDate,emailHour,totalCount
11/01/2001,0,24
11/01/2001,1,34
11/01/2001,2,28
11/01/2001,3,25
11/01/2001,4,23
11/01/2001,5,25
11/01/2001,6,28
11/01/2001,7,29
11/01/2001,8,21
11/01/2001,9,26
11/01/2001,10,15
11/01/2001,11,10
11/01/2001,12,4
11/01/2001,13,5
11/01/2001,14,5
11/01/2001,15,5
11/01/2001,16,5
11/01/2001,18,1
11/01/2001,21,2
11/01/2001,22,2
11/01/2001,23,10
12/01/2001,0,12
12/01/2001,1,24
12/01/2001,2,28
12/01/2001,3,25
12/01/2001,4,21
12/01/2001,5,25
12/01/2001,6,39
12/01/2001,7,18
12/01/2001,8,36
12/01/2001,9,24
12/01/2001,10,13
12/01/2001,11,34
12/01/2001,12,2
12/01/2001,13,6
12/01/2001,14,11
12/01/2001,15,7
12/01/2001,17,2
12/01/2001,22,1
12/01/2001,23,1
13/01/2001,1,10
13/01/2001,2,6
13/01/2001,3,4
13/01/2001,4,3
13/01/2001,5,1
13/01/2001,6,2
13/01/2001,11,1
13/01/2001,12,2
13/01/2001,15,3
13/01/2001,16,1
13/01/2001,17,1
13/01/2001,23,3
14/01/2001,0,3
14/01/2001,4,3
14/01/2001,5,7
14/01/2001,6,2
14/01/2001,9,1
14/01/2001,13,1
14/01/2001,14,1
14/01/2001,15,1
14/01/2001,17,2
14/01/2001,20,1
14/01/2001,22,2
14/01/2001,23,3
15/01/2001,0,3
15/01/2001,1,10
15/01/2001,2,5
15/01/2001,3,8
15/01/2001,4,3
15/01/2001,5,8
15/01/2001,6,7
15/01/2001,8,7
15/01/2001,9,2
15/01/2001,10,1
15/01/2001,11,1
15/01/2001,13,2
15/01/2001,14,2
15/01/2001,17,1
15/01/2001,18,1
15/01/2001,21,1
15/01/2001,22,3
15/01/2001,23,7
16/01/2001,0,40
16/01/2001,1,43
16/01/2001,2,52
16/01/2001,3,44
16/01/2001,4,21
16/01/2001,5,36
16/01/2001,6,14
16/01/2001,7,34
16/01/2001,8,22
16/01/2001,9,18
16/01/2001,10,14
16/01/2001,11,6
16/01/2001,13,3
16/01/2001,14,1
16/01/2001,15,7
16/01/2001,16,2
16/01/2001,20,1
16/01/2001,22,5
16/01/2001,23,9
17/01/2001,0,21
17/01/2001,1,49
17/01/2001,2,35
17/01/2001,3,33
17/01/2001,4,20
17/01/2001,5,41
17/01/2001,6,45
17/01/2001,7,28
17/01/2001,8,36
17/01/2001,9,20
17/01/2001,10,11
17/01/2001,11,13
17/01/2001,12,2
17/01/2001,13,3
17/01/2001,14,1
17/01/2001,15,1
17/01/2001,16,1
17/01/2001,17,1
17/01/2001,18,7
17/01/2001,22,2
17/01/2001,23,9
18/01/2001,0,20
18/01/2001,1,23
18/01/2001,2,31
18/01/2001,3,26
18/01/2001,4,28
18/01/2001,5,28
18/01/2001,6,19
18/01/2001,7,28
18/01/2001,8,29
18/01/2001,9,25
18/01/2001,10,20
18/01/2001,11,5
18/01/2001,12,1
18/01/2001,13,1
18/01/2001,15,19
18/01/2001,16,2
18/01/2001,18,2
18/01/2001,20,1
18/01/2001,21,1
18/01/2001,22,2
18/01/2001,23,13
19/01/2001,0,29
19/01/2001,1,35
19/01/2001,2,27
19/01/2001,3,21
19/01/2001,4,12
19/01/2001,5,21
19/01/2001,6,21
19/01/2001,7,29
19/01/2001,8,50
19/01/2001,9,33
19/01/2001,10,5
19/01/2001,11,3
19/01/2001,12,2
19/01/2001,13,2
19/01/2001,14,1
19/01/2001,20,1
20/01/2001,0,3
20/01/2001,1,2
20/01/2001,2,2
20/01/2001,3,2
20/01/2001,4,3
20/01/2001,7,1
20/01/2001,9,3
20/01/2001,10,7
20/01/2001,14,4
20/01/2001,15,6
20/01/2001,19,2
21/01/2001,2,17
21/01/2001,3,7
21/01/2001,4,6
21/01/2001,6,2
21/01/2001,7,17
21/01/2001,8,7
21/01/2001,9,15
21/01/2001,10,1
21/01/2001,11,1
21/01/2001,12,5
21/01/2001,13,3
21/01/2001,15,4
21/01/2001,16,1
21/01/2001,17,1
21/01/2001,21,1
21/01/2001,22,3
21/01/2001,23,5
22/01/2001,0,28
22/01/2001,1,46
22/01/2001,2,35
22/01/2001,3,29
22/01/2001,4,38
22/01/2001,5,27
22/01/2001,6,37
22/01/2001,7,33
22/01/2001,8,34
22/01/2001,9,15
22/01/2001,10,13
22/01/2001,11,3
22/01/2001,12,7
22/01/2001,13,6
22/01/2001,14,9
22/01/2001,15,1
22/01/2001,16,3
22/01/2001,18,2
22/01/2001,19,1
22/01/2001,21,1
22/01/2001,22,3
22/01/2001,23,7
23/01/2001,0,20
23/01/2001,1,51
23/01/2001,2,53
23/01/2001,3,44
23/01/2001,4,22
23/01/2001,5,30
23/01/2001,6,61
23/01/2001,7,31
23/01/2001,8,42
23/01/2001,9,29
23/01/2001,10,15
23/01/2001,11,10
23/01/2001,12,4
23/01/2001,13,3
23/01/2001,14,4
23/01/2001,15,1
23/01/2001,16,2
23/01/2001,17,6
23/01/2001,18,1
23/01/2001,19,1
23/01/2001,22,3
23/01/2001,23,7
24/01/2001,0,34
24/01/2001,1,42
24/01/2001,2,55
24/01/2001,3,50
24/01/2001,4,21
24/01/2001,5,32
24/01/2001,6,44
24/01/2001,7,38
24/01/2001,8,39
24/01/2001,9,34
24/01/2001,10,12
24/01/2001,11,9
24/01/2001,12,7
24/01/2001,13,2
24/01/2001,14,2
24/01/2001,15,10
24/01/2001,18,2
24/01/2001,20,1
24/01/2001,21,5
24/01/2001,22,10
24/01/2001,23,10
25/01/2001,0,13
25/01/2001,1,39
25/01/2001,2,35
25/01/2001,3,39
25/01/2001,4,22
25/01/2001,5,27
25/01/2001,6,34
25/01/2001,7,29
25/01/2001,8,28
25/01/2001,9,23
25/01/2001,10,8
25/01/2001,11,6
25/01/2001,12,5
25/01/2001,13,2
25/01/2001,14,4
25/01/2001,15,3
25/01/2001,16,1
25/01/2001,17,2
25/01/2001,18,1
25/01/2001,22,3
25/01/2001,23,12
26/01/2001,0,25
26/01/2001,1,34
26/01/2001,2,44
26/01/2001,3,37
26/01/2001,4,21
26/01/2001,5,27
26/01/2001,6,38
26/01/2001,7,48
26/01/2001,8,40
26/01/2001,9,23
26/01/2001,10,28
26/01/2001,11,7
26/01/2001,12,5
26/01/2001,13,2
26/01/2001,14,1
26/01/2001,15,5
26/01/2001,16,3
26/01/2001,17,3
26/01/2001,18,2
26/01/2001,20,3
26/01/2001,22,3
26/01/2001,23,1
27/01/2001,0,1
27/01/2001,2,2
27/01/2001,3,1
27/01/2001,5,1
27/01/2001,7,2
27/01/2001,8,1
27/01/2001,9,3
27/01/2001,11,1
27/01/2001,14,1
28/01/2001,0,1
28/01/2001,2,6
28/01/2001,3,4
28/01/2001,4,4
28/01/2001,5,1
28/01/2001,6,1
28/01/2001,8,1
28/01/2001,9,1
28/01/2001,12,8
28/01/2001,13,5
28/01/2001,17,2
28/01/2001,21,2
28/01/2001,22,2
28/01/2001,23,3
29/01/2001,0,25
29/01/2001,1,28
29/01/2001,2,60
29/01/2001,3,19
29/01/2001,4,30
29/01/2001,5,25
29/01/2001,6,39
29/01/2001,7,36
29/01/2001,8,46
29/01/2001,9,15
29/01/2001,10,18
29/01/2001,11,3
29/01/2001,12,3
29/01/2001,13,11
29/01/2001,14,15
29/01/2001,15,6
29/01/2001,16,8
29/01/2001,17,3
29/01/2001,18,2
29/01/2001,19,1
29/01/2001,20,2
29/01/2001,21,3
29/01/2001,22,5
29/01/2001,23,10
30/01/2001,0,26
30/01/2001,1,37
30/01/2001,2,41
30/01/2001,3,37
30/01/2001,4,14
30/01/2001,5,22
30/01/2001,6,45
30/01/2001,7,32
30/01/2001,8,30
30/01/2001,9,28
30/01/2001,10,10
30/01/2001,11,4
30/01/2001,12,4
30/01/2001,13,23
30/01/2001,14,2
30/01/2001,15,10
30/01/2001,16,6
30/01/2001,17,5
30/01/2001,18,1
30/01/2001,19,1
30/01/2001,20,3
30/01/2001,22,4
30/01/2001,23,20
31/01/2001,0,38
31/01/2001,1,33
31/01/2001,2,29
31/01/2001,3,42
31/01/2001,4,10
31/01/2001,5,31
31/01/2001,6,40
31/01/2001,7,55
31/01/2001,8,43
31/01/2001,9,27
31/01/2001,10,10
31/01/2001,11,13
31/01/2001,12,6
31/01/2001,13,5
31/01/2001,14,4
31/01/2001,15,5
31/01/2001,16,5
31/01/2001,17,2
31/01/2001,18,1
31/01/2001,19,2
31/01/2001,20,6
31/01/2001,21,3
31/01/2001,22,2
31/01/2001,23,12
01/02/2001,0,24
01/02/2001,1,23
01/02/2001,2,36
01/02/2001,3,20
01/02/2001,4,39
01/02/2001,5,19
01/02/2001,6,28
01/02/2001,7,29
01/02/2001,8,34
01/02/2001,9,14
01/02/2001,10,16
01/02/2001,11,4
01/02/2001,12,4
01/02/2001,13,3
01/02/2001,14,5
01/02/2001,15,9
01/02/2001,16,5
01/02/2001,17,1
01/02/2001,18,2
01/02/2001,19,1
01/02/2001,20,1
01/02/2001,21,3
01/02/2001,22,2
01/02/2001,23,5
02/02/2001,0,17
02/02/2001,1,33
02/02/2001,2,36
02/02/2001,3,30
02/02/2001,4,17
02/02/2001,5,36
02/02/2001,6,38
02/02/2001,7,25
02/02/2001,8,31
02/02/2001,9,27
02/02/2001,10,13
02/02/2001,11,4
02/02/2001,12,12
02/02/2001,13,10
02/02/2001,14,4
02/02/2001,15,7
02/02/2001,16,2
02/02/2001,18,3
02/02/2001,19,3
02/02/2001,20,1
02/02/2001,22,1
02/02/2001,23,2
03/02/2001,4,1
03/02/2001,6,1
03/02/2001,7,3
03/02/2001,8,2
03/02/2001,11,1
03/02/2001,12,2
03/02/2001,13,1
03/02/2001,15,2
03/02/2001,20,1
03/02/2001,22,1
04/02/2001,0,5
04/02/2001,1,11
04/02/2001,2,13
04/02/2001,3,2
04/02/2001,6,2
04/02/2001,8,2
04/02/2001,9,3
04/02/2001,10,7
04/02/2001,11,3
04/02/2001,13,2
04/02/2001,15,4
04/02/2001,17,2
04/02/2001,18,2
04/02/2001,19,2
04/02/2001,21,1
04/02/2001,22,4
04/02/2001,23,4
05/02/2001,0,16
05/02/2001,1,30
05/02/2001,2,52
05/02/2001,3,51
05/02/2001,4,24
05/02/2001,5,30
05/02/2001,6,32
05/02/2001,7,41
05/02/2001,8,24
05/02/2001,9,28
05/02/2001,10,23
05/02/2001,11,4
05/02/2001,12,9
05/02/2001,13,3
05/02/2001,14,4
05/02/2001,15,1
05/02/2001,16,2
05/02/2001,17,2
05/02/2001,18,2
05/02/2001,19,6
05/02/2001,20,1
05/02/2001,21,1
05/02/2001,23,10
06/02/2001,0,16
06/02/2001,1,41
06/02/2001,2,35
06/02/2001,3,35
06/02/2001,4,35
06/02/2001,5,51
06/02/2001,6,50
06/02/2001,7,61
06/02/2001,8,52
06/02/2001,9,28
06/02/2001,10,19
06/02/2001,11,21
06/02/2001,12,1
06/02/2001,13,6
06/02/2001,15,7
06/02/2001,16,3
06/02/2001,18,1
06/02/2001,19,1
06/02/2001,20,4
06/02/2001,23,24
07/02/2001,0,30
07/02/2001,1,49
07/02/2001,2,36
07/02/2001,3,35
07/02/2001,4,16
07/02/2001,5,34
07/02/2001,6,34
07/02/2001,7,34
07/02/2001,8,36
07/02/2001,9,35
07/02/2001,10,9
07/02/2001,11,24
07/02/2001,12,5
07/02/2001,13,7
07/02/2001,14,4
07/02/2001,15,1
07/02/2001,16,12
07/02/2001,17,4
07/02/2001,18,1
07/02/2001,19,2
07/02/2001,20,4
07/02/2001,21,1
07/02/2001,22,2
07/02/2001,23,9
08/02/2001,0,16
08/02/2001,1,23
08/02/2001,2,49
08/02/2001,3,27
08/02/2001,4,29
08/02/2001,5,25
08/02/2001,6,37
08/02/2001,7,36
08/02/2001,8,17
08/02/2001,9,23
08/02/2001,10,10
08/02/2001,11,1
08/02/2001,12,1
08/02/2001,13,2
08/02/2001,14,2
08/02/2001,17,3
08/02/2001,18,4
08/02/2001,20,1
08/02/2001,21,2
08/02/2001,22,4
08/02/2001,23,8
09/02/2001,0,15
09/02/2001,1,36
09/02/2001,2,58
09/02/2001,3,34
09/02/2001,4,30
09/02/2001,5,46
09/02/2001,6,40
09/02/2001,7,28
09/02/2001,8,25
09/02/2001,9,20
09/02/2001,10,25
09/02/2001,11,4
09/02/2001,12,1
09/02/2001,13,3
09/02/2001,14,5
09/02/2001,15,4
09/02/2001,16,1
09/02/2001,22,1
10/02/2001,1,1
10/02/2001,3,2
10/02/2001,5,1
10/02/2001,8,1
10/02/2001,10,1
10/02/2001,12,5
11/02/2001,1,1
11/02/2001,4,2
11/02/2001,5,1
11/02/2001,6,10
11/02/2001,7,1
11/02/2001,9,1
11/02/2001,11,5
11/02/2001,12,3
11/02/2001,13,1
11/02/2001,14,2
11/02/2001,21,2
11/02/2001,22,6
11/02/2001,23,13
12/02/2001,0,13
12/02/2001,1,34
12/02/2001,2,59
12/02/2001,3,44
12/02/2001,4,27
12/02/2001,5,37
12/02/2001,6,28
12/02/2001,7,43
12/02/2001,8,40
12/02/2001,9,22
12/02/2001,10,12
12/02/2001,11,5
12/02/2001,12,3
12/02/2001,13,3
12/02/2001,14,9
12/02/2001,15,1
12/02/2001,16,4
12/02/2001,19,1
12/02/2001,20,3
12/02/2001,22,2
12/02/2001,23,6
13/02/2001,0,24
13/02/2001,1,33
13/02/2001,2,38
13/02/2001,3,27
13/02/2001,4,12
13/02/2001,5,32
13/02/2001,6,46
13/02/2001,7,32
13/02/2001,8,31
13/02/2001,9,26
13/02/2001,10,6
13/02/2001,11,1
13/02/2001,12,2
13/02/2001,13,2
13/02/2001,14,1
13/02/2001,15,4
13/02/2001,16,1
13/02/2001,17,1
13/02/2001,19,2
13/02/2001,20,3
13/02/2001,21,1
13/02/2001,22,6
13/02/2001,23,9
14/02/2001,0,23
14/02/2001,1,36
14/02/2001,2,43
14/02/2001,3,30
14/02/2001,4,19
14/02/2001,5,26
14/02/2001,6,43
14/02/2001,7,30
14/02/2001,8,26
14/02/2001,9,23
14/02/2001,10,20
14/02/2001,11,12
14/02/2001,12,1
14/02/2001,13,2
14/02/2001,14,16
14/02/2001,15,6
14/02/2001,16,2
14/02/2001,17,3
14/02/2001,18,3
14/02/2001,21,2
14/02/2001,22,3
14/02/2001,23,12
15/02/2001,0,41
15/02/2001,1,38
15/02/2001,2,43
15/02/2001,3,29
15/02/2001,4,23
15/02/2001,5,34
15/02/2001,6,34
15/02/2001,7,39
15/02/2001,8,51
15/02/2001,9,28
15/02/2001,10,14
15/02/2001,11,12
15/02/2001,12,16
15/02/2001,13,1
15/02/2001,14,1
15/02/2001,15,10
15/02/2001,16,2
15/02/2001,17,2
15/02/2001,18,1
15/02/2001,19,3
15/02/2001,20,1
15/02/2001,21,3
15/02/2001,22,3
15/02/2001,23,5
16/02/2001,0,31
16/02/2001,1,39
16/02/2001,2,44
16/02/2001,3,31
16/02/2001,4,17
16/02/2001,5,18
16/02/2001,6,33
16/02/2001,7,42
16/02/2001,8,20
16/02/2001,9,27
16/02/2001,10,12
16/02/2001,11,1
16/02/2001,12,9
16/02/2001,13,16
16/02/2001,14,3
16/02/2001,15,4
16/02/2001,16,2
16/02/2001,17,15
16/02/2001,18,2
16/02/2001,19,1
17/02/2001,1,1
17/02/2001,3,1
17/02/2001,4,1
17/02/2001,6,2
17/02/2001,8,1
17/02/2001,9,1
17/02/2001,13,2
17/02/2001,14,1
17/02/2001,17,1
17/02/2001,23,1
18/02/2001,0,1
18/02/2001,3,2
18/02/2001,4,5
18/02/2001,5,1
18/02/2001,6,1
18/02/2001,7,3
18/02/2001,9,1
18/02/2001,10,1
18/02/2001,11,3
18/02/2001,13,1
18/02/2001,14,5
18/02/2001,15,1
18/02/2001,16,1
18/02/2001,19,2
19/02/2001,0,2
19/02/2001,1,5
19/02/2001,2,5
19/02/2001,3,8
19/02/2001,4,2
19/02/2001,5,2
19/02/2001,7,6
19/02/2001,8,9
19/02/2001,9,16
19/02/2001,10,2
19/02/2001,11,11
19/02/2001,12,8
19/02/2001,13,2
19/02/2001,14,1
19/02/2001,15,1
19/02/2001,16,2
19/02/2001,17,3
19/02/2001,20,1
19/02/2001,21,1
19/02/2001,23,5
20/02/2001,0,25
20/02/2001,1,37
20/02/2001,2,51
20/02/2001,3,37
20/02/2001,4,27
20/02/2001,5,36
20/02/2001,6,37
20/02/2001,7,53
20/02/2001,8,42
20/02/2001,9,18
20/02/2001,10,21
20/02/2001,11,15
20/02/2001,12,6
20/02/2001,13,2
20/02/2001,14,5
20/02/2001,15,4
20/02/2001,16,5
20/02/2001,17,6
20/02/2001,18,6
20/02/2001,19,3
20/02/2001,21,3
20/02/2001,23,7
21/02/2001,0,26
21/02/2001,1,49
21/02/2001,2,19
21/02/2001,3,29
21/02/2001,4,36
21/02/2001,5,38
21/02/2001,6,28
21/02/2001,7,49
21/02/2001,8,38
21/02/2001,9,36
21/02/2001,10,22
21/02/2001,11,10
21/02/2001,12,3
21/02/2001,13,3
21/02/2001,14,7
21/02/2001,15,3
21/02/2001,16,22
21/02/2001,17,65
21/02/2001,19,1
21/02/2001,20,2
21/02/2001,21,3
21/02/2001,22,2
21/02/2001,23,14
22/02/2001,0,35
22/02/2001,1,41
22/02/2001,2,35
22/02/2001,3,42
22/02/2001,4,36
22/02/2001,5,38
22/02/2001,6,38
22/02/2001,7,43
22/02/2001,8,50
22/02/2001,9,23
22/02/2001,10,9
22/02/2001,11,9
22/02/2001,12,9
22/02/2001,13,7
22/02/2001,14,2
22/02/2001,15,5
22/02/2001,16,14
22/02/2001,17,2
22/02/2001,18,3
22/02/2001,19,2
22/02/2001,20,2
22/02/2001,21,1
22/02/2001,22,5
22/02/2001,23,11
23/02/2001,0,22
23/02/2001,1,34
23/02/2001,2,46
23/02/2001,3,30
23/02/2001,4,15
23/02/2001,5,27
23/02/2001,6,39
23/02/2001,7,41
23/02/2001,8,39
23/02/2001,9,30
23/02/2001,10,17
23/02/2001,11,15
23/02/2001,12,39
23/02/2001,13,1
23/02/2001,14,6
23/02/2001,15,4
23/02/2001,16,1
23/02/2001,17,2
23/02/2001,18,2
23/02/2001,19,2
23/02/2001,20,1
23/02/2001,21,1
23/02/2001,23,1
24/02/2001,0,2
24/02/2001,1,1
24/02/2001,2,1
24/02/2001,5,2
24/02/2001,7,1
24/02/2001,8,3
24/02/2001,14,2
24/02/2001,16,1
24/02/2001,17,1
25/02/2001,0,1
25/02/2001,1,1
25/02/2001,3,2
25/02/2001,5,4
25/02/2001,7,7
25/02/2001,8,2
25/02/2001,9,2
25/02/2001,10,3
25/02/2001,11,1
25/02/2001,12,5
25/02/2001,13,2
25/02/2001,14,1
25/02/2001,15,2
25/02/2001,17,2
25/02/2001,20,3
25/02/2001,22,4
25/02/2001,23,9
26/02/2001,0,26
26/02/2001,1,30
26/02/2001,2,55
26/02/2001,3,35
26/02/2001,4,34
26/02/2001,5,37
26/02/2001,6,36
26/02/2001,7,42
26/02/2001,8,44
26/02/2001,9,35
26/02/2001,10,20
26/02/2001,11,13
26/02/2001,12,4
26/02/2001,13,2
26/02/2001,14,5
26/02/2001,15,1
26/02/2001,16,2
26/02/2001,17,4
26/02/2001,18,2
26/02/2001,19,4
26/02/2001,20,2
26/02/2001,21,2
26/02/2001,22,2
26/02/2001,23,6
27/02/2001,0,39
27/02/2001,1,35
27/02/2001,2,54
27/02/2001,3,49
27/02/2001,4,30
27/02/2001,5,32
27/02/2001,6,36
27/02/2001,7,29
27/02/2001,8,44
27/02/2001,9,24
27/02/2001,10,16
27/02/2001,11,13
27/02/2001,12,12
27/02/2001,13,3
27/02/2001,14,12
27/02/2001,15,4
27/02/2001,16,2
27/02/2001,17,1
27/02/2001,18,2
27/02/2001,19,1
27/02/2001,20,2
27/02/2001,21,1
27/02/2001,22,5
27/02/2001,23,13
28/02/2001,0,29
28/02/2001,1,39
28/02/2001,2,46
28/02/2001,3,45
28/02/2001,4,24
28/02/2001,5,41
28/02/2001,6,88
28/02/2001,7,51
28/02/2001,8,55
28/02/2001,9,43
28/02/2001,10,14
28/02/2001,11,12
28/02/2001,12,5
28/02/2001,13,13
28/02/2001,14,5
28/02/2001,15,6
28/02/2001,16,1
28/02/2001,17,1
28/02/2001,18,2
28/02/2001,19,3
28/02/2001,20,1
28/02/2001,21,1
28/02/2001,22,8
28/02/2001,23,12
01/03/2001,0,28
01/03/2001,1,65
01/03/2001,2,35
01/03/2001,3,34
01/03/2001,4,15
01/03/2001,5,42
01/03/2001,6,38
01/03/2001,7,43
01/03/2001,8,27
01/03/2001,9,16
01/03/2001,10,24
01/03/2001,11,4
01/03/2001,12,6
01/03/2001,13,5
01/03/2001,14,3
01/03/2001,15,1
01/03/2001,16,6
01/03/2001,18,1
01/03/2001,19,1
01/03/2001,21,2
01/03/2001,22,1
01/03/2001,23,18
02/03/2001,0,21
02/03/2001,1,29
02/03/2001,2,35
02/03/2001,3,29
02/03/2001,4,38
02/03/2001,5,43
02/03/2001,6,32
02/03/2001,7,37
02/03/2001,8,29
02/03/2001,9,17
02/03/2001,10,44
02/03/2001,11,14
02/03/2001,12,4
02/03/2001,13,4
02/03/2001,14,8
02/03/2001,15,9
02/03/2001,16,5
02/03/2001,18,1
02/03/2001,19,1
02/03/2001,20,1
02/03/2001,21,1
02/03/2001,22,1
02/03/2001,23,1
03/03/2001,0,1
03/03/2001,1,1
03/03/2001,2,1
03/03/2001,3,4
03/03/2001,4,2
03/03/2001,5,2
03/03/2001,6,1
03/03/2001,7,1
03/03/2001,8,2
03/03/2001,9,6
03/03/2001,10,1
03/03/2001,11,3
03/03/2001,12,2
03/03/2001,13,1
03/03/2001,14,1
03/03/2001,15,1
03/03/2001,16,2
03/03/2001,17,1
03/03/2001,18,1
03/03/2001,19,1
03/03/2001,20,2
03/03/2001,21,1
03/03/2001,22,1
03/03/2001,23,1
04/03/2001,0,4
04/03/2001,1,1
04/03/2001,2,1
04/03/2001,3,1
04/03/2001,4,3
04/03/2001,5,2
04/03/2001,6,3
04/03/2001,7,2
04/03/2001,8,6
04/03/2001,9,2
04/03/2001,10,2
04/03/2001,11,3
04/03/2001,12,3
04/03/2001,13,6
04/03/2001,14,4
04/03/2001,15,2
04/03/2001,16,1
04/03/2001,18,2
04/03/2001,19,2
04/03/2001,20,2
04/03/2001,21,2
04/03/2001,22,3
04/03/2001,23,13
05/03/2001,0,26
05/03/2001,1,37
05/03/2001,2,45
05/03/2001,3,48
05/03/2001,4,28
05/03/2001,5,20
05/03/2001,6,29
05/03/2001,7,35
05/03/2001,8,37
05/03/2001,9,25
05/03/2001,10,15
05/03/2001,11,7
05/03/2001,12,3
05/03/2001,13,3
05/03/2001,14,11
05/03/2001,15,4
05/03/2001,16,2
05/03/2001,17,1
05/03/2001,18,3
05/03/2001,19,1
05/03/2001,20,2
05/03/2001,21,2
05/03/2001,22,2
05/03/2001,23,15
06/03/2001,0,31
06/03/2001,1,44
06/03/2001,2,50
06/03/2001,3,45
06/03/2001,4,29
06/03/2001,5,55
06/03/2001,6,48
06/03/2001,7,43
06/03/2001,8,36
06/03/2001,9,39
06/03/2001,10,21
06/03/2001,11,7
06/03/2001,12,9
06/03/2001,13,8
06/03/2001,14,4
06/03/2001,15,5
06/03/2001,16,3
06/03/2001,17,1
06/03/2001,18,1
06/03/2001,19,7
06/03/2001,20,1
06/03/2001,21,2
06/03/2001,22,8
06/03/2001,23,6
07/03/2001,0,30
07/03/2001,1,48
07/03/2001,2,41
07/03/2001,3,36
07/03/2001,4,24
07/03/2001,5,24
07/03/2001,6,35
07/03/2001,7,37
07/03/2001,8,42
07/03/2001,9,49
07/03/2001,10,15
07/03/2001,11,19
07/03/2001,12,8
07/03/2001,13,7
07/03/2001,14,16
07/03/2001,15,2
07/03/2001,16,2
07/03/2001,17,1
07/03/2001,18,3
07/03/2001,19,2
07/03/2001,20,4
07/03/2001,21,2
07/03/2001,22,3
